row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
189.0,Melanoma of the skin,2014,Males,New South Wales,2558,68.7,336,9.0,Male,3750061
190.0,Melanoma of the skin,2014,Males,Victoria,1402,48.1,190,6.5,Male,2945763
191.0,Melanoma of the skin,2014,Males,Queensland,2199,93.6,250,10.6,Male,2361282
192.0,Melanoma of the skin,2014,Males,Western Australia,770,60.8,103,8.1,Male,1271552
193.0,Melanoma of the skin,2014,Males,South Australia,478,57.2,90,10.8,Male,838094
194.0,Melanoma of the skin,2014,Males,Tasmania,163,63.9,23,9.0,Male,255134
195.0,Melanoma of the skin,2014,Males,Australian Capital Territory,81,43.5,11,5.8,Male,194291
196.0,Melanoma of the skin,2014,Males,Northern Territory,43,34.4,6,4.5,Male,127079
197.0,Melanoma of the skin,2014,Males,,7705,66.0,1004,8.6,Male,11744498
198.0,Melanoma of the skin,2014,Females,New South Wales,1797,47.5,165,4.4,Female,3812110
199.0,Melanoma of the skin,2014,Females,Victoria,1064,35.7,88,3.0,Female,3011749
200.0,Melanoma of the skin,2014,Females,Queensland,1507,63.6,102,4.3,Female,2385981
201.0,Melanoma of the skin,2014,Females,Western Australia,530,42.4,49,3.9,Female,1257067
202.0,Melanoma of the skin,2014,Females,South Australia,310,36.4,33,3.9,Female,855013
203.0,Melanoma of the skin,2014,Females,Tasmania,169,65.3,14,5.4,Female,259067
204.0,Melanoma of the skin,2014,Females,Australian Capital Territory,63,33.3,5,2.8,Female,197690
205.0,Melanoma of the skin,2014,Females,Northern Territory,25,22.2,2,n.p.,Female,116165
206.0,Melanoma of the skin,2014,Females,,5483,46.4,461,3.9,Female,11895833
207.0,Melanoma of the skin,2014,Persons,New South Wales,4355,58.0,501,6.7,Person,7562171
208.0,Melanoma of the skin,2014,Persons,Victoria,2466,41.8,278,4.7,Person,5957512
209.0,Melanoma of the skin,2014,Persons,Queensland,3706,78.5,352,7.5,Person,4747263
210.0,Melanoma of the skin,2014,Persons,Western Australia,1300,51.6,152,6.0,Person,2528619
211.0,Melanoma of the skin,2014,Persons,South Australia,788,46.7,123,7.3,Person,1693107
212.0,Melanoma of the skin,2014,Persons,Tasmania,332,64.6,37,7.2,Person,514040
213.0,Melanoma of the skin,2014,Persons,Australian Capital Territory,144,38.4,16,4.3,Person,391981
214.0,Melanoma of the skin,2014,Persons,Northern Territory,68,28.6,8,3.3,Person,243201
215.0,Melanoma of the skin,2014,Persons,,13188,56.2,1465,6.2,Person,23640331
216.0,Melanoma of the skin,2015,Males,New South Wales,2581,68.3,386,10.2,Male,3803289
217.0,Melanoma of the skin,2015,Males,Victoria,1533,51.5,215,7.2,Male,3011376
218.0,Melanoma of the skin,2015,Males,Queensland,2192,92.3,221,9.3,Male,2385347
219.0,Melanoma of the skin,2015,Males,Western Australia,895,70.1,102,8.0,Male,1278792
220.0,Melanoma of the skin,2015,Males,South Australia,471,56.0,74,8.8,Male,843702
221.0,Melanoma of the skin,2015,Males,Tasmania,166,65.0,18,7.0,Male,255551
222.0,Melanoma of the skin,2015,Males,Australian Capital Territory,84,44.0,12,6.1,Male,197696
223.0,Melanoma of the skin,2015,Males,Northern Territory,48,38.4,6,4.9,Male,127914
224.0,Melanoma of the skin,2015,Males,,8004,67.7,1039,8.8,Male,11904308
225.0,Melanoma of the skin,2015,Females,New South Wales,1780,46.4,176,4.6,Female,3868112
