,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
304,Melanoma of the skin,2018,Males,NT,53,41.4,5,4.1,Male,127221
305,Melanoma of the skin,2018,Males,Australia,"8,807",71.1,966,7.8,Male,12481024
306,Melanoma of the skin,2018,Females,NSW,"2,021",50.5,139,3.5,Female,4027298
307,Melanoma of the skin,2018,Females,Vic,"1,311",40.4,97,3.0,Female,3272503
308,Melanoma of the skin,2018,Females,Qld,"1,731",68.5,88,3.5,Female,2546592
309,Melanoma of the skin,2018,Females,WA,627,48.0,52,4.0,Female,1316570
310,Melanoma of the skin,2018,Females,SA,309,35.0,23,2.6,Female,888112
311,Melanoma of the skin,2018,Females,Tas,196,72.3,12,4.4,Female,274087
312,Melanoma of the skin,2018,Females,ACT,81,39.7,8,3.9,Female,217936
313,Melanoma of the skin,2018,Females,NT,30,25.8,2,n.p.,Female,119997
314,Melanoma of the skin,2018,Females,Australia,"6,315",50.2,417,3.3,Female,12665116
315,Melanoma of the skin,2018,Persons,NSW,"5,005",62.9,472,5.9,Person,8003564
316,Melanoma of the skin,2018,Persons,Vic,"3,078",47.9,292,4.5,Person,6479695
317,Melanoma of the skin,2018,Persons,Qld,"4,072",81.3,323,6.5,Person,5046434
318,Melanoma of the skin,2018,Persons,WA,"1,484",56.7,132,5.0,Person,2636404
319,Melanoma of the skin,2018,Persons,SA,785,45.0,85,4.9,Person,1755715
320,Melanoma of the skin,2018,Persons,Tas,401,74.6,45,8.4,Person,542927
321,Melanoma of the skin,2018,Persons,ACT,195,48.1,20,5.0,Person,430758
322,Melanoma of the skin,2018,Persons,NT,83,33.9,7,2.8,Person,247095
323,Melanoma of the skin,2018,Persons,Australia,"15,123",60.6,"1,383",5.5,Person,25146140
324,Melanoma of the skin,2019,Males,NSW,"3,012",75.3,307,7.7,Male,4019498
