Year,Sex,Type,Cases,Population,State
2019,Persons,Incident,2834,6590050,Victoria
2019,Persons,Incident,4446,5129741,Queensland
2019,Persons,Incident,1621,2688799,Western Australia
2019,Persons,Incident,902,1778928,South Australia
2019,Persons,Incident,412,553340,Tasmania
2019,Persons,Incident,205,440267,Australian Capital Territory
2019,Persons,Incident,88,246677,Northern Territory
2019,Persons,Incident,15626,25520468,
2020,Males,Incident,2894,4031001,New South Wales
2020,Males,Incident,1493,3274653,Victoria
2020,Males,Incident,2408,2568499,Queensland
2020,Males,Incident,817,1364994,Western Australia
2020,Males,Incident,544,886475,South Australia
2020,Males,Incident,221,278353,Tasmania
2020,Males,Incident,120,220886,Australian Capital Territory
2020,Males,Incident,55,126133,Northern Territory
2020,Males,Incident,8546,12728639,
2020,Females,Incident,2024,4081000,New South Wales
2020,Females,Incident,1093,3341983,Victoria
2020,Females,Incident,1761,2615830,Queensland
2020,Females,Incident,597,1363193,Western Australia
2020,Females,Incident,347,908039,South Australia
2020,Females,Incident,205,283528,Tasmania
2020,Females,Incident,85,226764,Australian Capital Territory
2020,Females,Incident,33,121772,Northern Territory
2020,Females,Incident,6135,12920609,
2020,Persons,Incident,4918,8112001,New South Wales
2020,Persons,Incident,2586,6616636,Victoria
2020,Persons,Incident,4169,5184329,Queensland
2020,Persons,Incident,1417,2728187,Western Australia
2020,Persons,Incident,891,1794514,South Australia
2020,Persons,Incident,428,561881,Tasmania
2020,Persons,Incident,205,447650,Australian Capital Territory
2020,Persons,Incident,88,247819,Northern Territory
2020,Persons,Incident,14686,25649248,
2007,Males,Incident,178,3413653,New South Wales
2007,Males,Incident,53,2574619,Victoria
2007,Males,Incident,109,2076128,Queensland
2007,Males,Incident,48,1075987,Western Australia
2007,Males,Incident,14,779355,South Australia
2007,Males,Incident,12,245319,Tasmania
2007,Males,Incident,5,170383,Australian Capital Territory
2007,Males,Incident,0,112777,Northern Territory
2007,Males,Incident,416,10449776,
2007,Females,Incident,119,3470199,New South Wales
2007,Females,Incident,36,2624884,Victoria
2007,Females,Incident,49,2083862,Queensland
2007,Females,Incident,25,1059019,Western Australia
2007,Females,Incident,7,799134,South Australia
2007,Females,Incident,6,250539,Tasmania
2007,Females,Incident,2,173793,Australian Capital Territory
2007,Females,Incident,0,103841,Northern Territory
2007,Females,Incident,242,10566345,
2007,Persons,Incident,297,6883852,New South Wales
2007,Persons,Incident,89,5199503,Victoria
2007,Persons,Incident,158,4159990,Queensland
2007,Persons,Incident,73,2135006,Western Australia
2007,Persons,Incident,21,1578489,South Australia
2007,Persons,Incident,18,495858,Tasmania
2007,Persons,Incident,7,344176,Australian Capital Territory
2007,Persons,Incident,0,216618,Northern Territory
2007,Persons,Incident,658,21016121,
2008,Males,Incident,166,3476199,New South Wales
2008,Males,Incident,40,2633317,Victoria
2008,Males,Incident,119,2135996,Queensland
2008,Males,Incident,52,1113633,Western Australia
2008,Males,Incident,11,789696,South Australia
2008,Males,Incident,7,248714,Tasmania
2008,Males,Incident,4,174242,Australian Capital Territory
2008,Males,Incident,1,116223,Northern Territory
2008,Males,Incident,402,10689738,
2008,Females,Incident,127,3525583,New South Wales
2008,Females,Incident,30,2679968,Victoria
2008,Females,Incident,38,2139555,Queensland
2008,Females,Incident,29,1095295,Western Australia
2008,Females,Incident,6,808184,South Australia
2008,Females,Incident,8,253060,Tasmania
2008,Females,Incident,2,176859,Australian Capital Territory
2008,Females,Incident,0,106303,Northern Territory
2008,Females,Incident,241,10785887,
2008,Persons,Incident,293,7001782,New South Wales
2008,Persons,Incident,70,5313285,Victoria
2008,Persons,Incident,157,4275551,Queensland
2008,Persons,Incident,81,2208928,Western Australia
2008,Persons,Incident,17,1597880,South Australia
2008,Persons,Incident,15,501774,Tasmania
2008,Persons,Incident,6,351101,Australian Capital Territory
2008,Persons,Incident,1,222526,Northern Territory
2008,Persons,Incident,643,21475625,
2009,Males,Incident,190,3526643,New South Wales
2009,Males,Incident,47,2686022,Victoria
2009,Males,Incident,135,2181500,Queensland
2009,Males,Incident,46,1140480,Western Australia
2009,Males,Incident,15,800926,South Australia
2009,Males,Incident,9,251434,Tasmania
2009,Males,Incident,3,177822,Australian Capital Territory
2009,Males,Incident,1,119297,Northern Territory
2009,Males,Incident,446,10886022,
2009,Females,Incident,111,3574861,New South Wales
2009,Females,Incident,32,2733227,Victoria
2009,Females,Incident,55,2185954,Queensland
2009,Females,Incident,31,1123267,Western Australia
2009,Females,Incident,10,817652,South Australia
2009,Females,Incident,5,255027,Tasmania
2009,Females,Incident,2,180037,Australian Capital Territory
2009,Females,Incident,0,108486,Northern Territory
2009,Females,Incident,247,10979601,
2009,Persons,Incident,301,7101504,New South Wales
2009,Persons,Incident,79,5419249,Victoria
2009,Persons,Incident,190,4367454,Queensland
2009,Persons,Incident,77,2263747,Western Australia
2009,Persons,Incident,25,1618578,South Australia
2009,Persons,Incident,14,506461,Tasmania
2009,Persons,Incident,5,357859,Australian Capital Territory
2009,Persons,Incident,1,227783,Northern Territory
2009,Persons,Incident,693,21865623,
2010,Males,Incident,174,3565558,New South Wales
2010,Males,Incident,49,2720959,Victoria
2010,Males,Incident,118,2214429,Queensland
