Year,Sex,Incident,Mortality,Population,State
2017,Persons,4148,347,4960965,Queensland
2017,Persons,1453,135,2599928,Western Australia
2017,Persons,799,84,1735654,South Australia
2017,Persons,339,30,531561,Tasmania
2017,Persons,184,18,420226,Australian Capital Territory
2017,Persons,81,7,247514,Northern Territory
2017,Persons,14962,1403,24759018,
2018,Males,2984,333,3976266,New South Wales
2018,Males,1766,195,3207192,Victoria
2018,Males,2341,235,2499842,Queensland
2018,Males,857,80,1319834,Western Australia
2018,Males,476,62,867603,South Australia
2018,Males,205,33,268840,Tasmania
2018,Males,114,12,212822,Australian Capital Territory
2018,Males,53,5,127221,Northern Territory
2018,Males,8807,966,12481024,
2018,Females,2021,139,4027298,New South Wales
2018,Females,1311,97,3272503,Victoria
2018,Females,1731,88,2546592,Queensland
2018,Females,627,52,1316570,Western Australia
2018,Females,309,23,888112,South Australia
2018,Females,196,12,274087,Tasmania
2018,Females,81,8,217936,Australian Capital Territory
2018,Females,30,2,119997,Northern Territory
2018,Females,6315,417,12665116,
2018,Persons,5005,472,8003564,New South Wales
2018,Persons,3078,292,6479695,Victoria
2018,Persons,4072,323,5046434,Queensland
2018,Persons,1484,132,2636404,Western Australia
2018,Persons,785,85,1755715,South Australia
2018,Persons,401,45,542927,Tasmania
2018,Persons,195,20,430758,Australian Capital Territory
2018,Persons,83,7,247095,Northern Territory
2018,Persons,15123,1383,25146140,
2019,Males,3012,307,4019498,New South Wales
2019,Males,1632,189,3262240,Victoria
2019,Males,2601,212,2540680,Queensland
2019,Males,945,104,1345064,Western Australia
2019,Males,545,79,878768,South Australia
2019,Males,224,26,273893,Tasmania
2019,Males,120,14,217500,Australian Capital Territory
2019,Males,55,6,126289,Northern Territory
2019,Males,9135,942,12665662,
2019,Females,2077,157,4068863,New South Wales
2019,Females,1202,85,3327810,Victoria
2019,Females,1845,99,2589061,Queensland
2019,Females,676,45,1343735,Western Australia
2019,Females,357,33,900160,South Australia
2019,Females,188,14,279447,Tasmania
2019,Females,86,8,222767,Australian Capital Territory
2019,Females,33,1,120727,Northern Territory
2019,Females,6491,441,12854806,
2019,Persons,5089,464,8088361,New South Wales
2019,Persons,2834,274,6590050,Victoria
2019,Persons,4446,311,5129741,Queensland
2019,Persons,1621,149,2688799,Western Australia
2019,Persons,902,112,1778928,South Australia
2019,Persons,412,40,553340,Tasmania
2019,Persons,205,22,440267,Australian Capital Territory
2019,Persons,88,7,246677,Northern Territory
2019,Persons,15626,1383,25520468,
2020,Males,2894,347,4031001,New South Wales
2020,Males,1493,183,3274653,Victoria
2020,Males,2408,222,2568499,Queensland
2020,Males,817,85,1364994,Western Australia
2020,Males,544,68,886475,South Australia
2020,Males,221,28,278353,Tasmania
2020,Males,120,15,220886,Australian Capital Territory
2020,Males,55,5,126133,Northern Territory
2020,Males,8546,954,12728639,
2020,Females,2024,146,4081000,New South Wales
2020,Females,1093,98,3341983,Victoria
2020,Females,1761,105,2615830,Queensland
2020,Females,597,38,1363193,Western Australia
2020,Females,347,39,908039,South Australia
2020,Females,205,9,283528,Tasmania
2020,Females,85,8,226764,Australian Capital Territory
2020,Females,33,2,121772,Northern Territory
2020,Females,6135,445,12920609,
2020,Persons,4918,493,8112001,New South Wales
2020,Persons,2586,281,6616636,Victoria
2020,Persons,4169,327,5184329,Queensland
2020,Persons,1417,123,2728187,Western Australia
2020,Persons,891,107,1794514,South Australia
2020,Persons,428,37,561881,Tasmania
2020,Persons,205,23,447650,Australian Capital Territory
2020,Persons,88,6,247819,Northern Territory
2020,Persons,14686,1399,25649248,
2007,Males,178,35,3413653,New South Wales
2007,Males,53,6,2574619,Victoria
2007,Males,109,23,2076128,Queensland
2007,Males,48,12,1075987,Western Australia
2007,Males,14,4,779355,South Australia
2007,Males,12,1,245319,Tasmania
