Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Morocco,1.22,1.226,0.964,0.443,0.84,0.611,1.957,2.083,1.777,0.825,0.782,1.0681,1.03600101,1.64461271,1.79030101,1.17110101,1.16580101,1.18100101,1.21410101,2.95950101,4.12670101,2.69770101,2.35910128,4.00000101,3.56130101,4.4101,4.6573,4.634912,6.484341,7.543433,6.97936176,7.74518346,7.153838,8.81911148
Netherlands,0.811,0.942,1.02,1.13,1.27701,1.423,1.835,2.032,2.346091,2.528857,2.992297,3.313418,3.979428,3.968297,5.320778,7.465918,8.068422,7.605994,9.480115,10.835999,11.214723,12.341074,12.543575,12.21136,11.707203,13.686937,14.781194,17.438536,18.881842,22.803191,32.729486,40.35569,48.315234,58.162087
New Zealand,26.1382456,26.0162933,24.1626798,26.7119702,28.9127325,30.5603297,29.1427081,26.3181883,28.6493139,26.5147437,28.2960626,25.3499064,28.3955086,27.0459715,30.9963295,27.7494844,28.2669945,28.8321571,28.3022533,31.2800638,32.9762563,34.0093951,32.1673538,32.6359174,34.9109977,35.8902684,37.2785379,36.3214656,37.3218637,36.9642066,35.7483219,36.2615448,38.6194134,39.0592742
Non-OECD (EI),941.238397,976.850516,990.852665,1047.10316,1106.6309,1151.14916,1149.46438,1172.24458,1228.0308,1239.57475,1286.48582,1323.5491,1349.77908,1374.57407,1543.94794,1632.17757,1731.8337,1831.57273,1978.50109,2021.1936,2213.50334,2282.44767,2479.6686,2678.47259,2878.43728,2969.69305,3205.95183,3442.06912,3730.9757,3989.9485,4240.09904,4587.97526,4985.87642,5312.42484
North America,685.064842,693.744347,675.265522,712.737371,691.937212,755.582096,818.625838,817.228362,764.815686,784.743263,753.882417,663.429215,734.734371,729.562518,734.586013,769.843099,792.056058,771.609267,821.992847,844.013629,851.25876,964.027004,952.872317,993.125286,1017.43532,1036.44191,1116.46315,1211.83735,1235.76159,1261.61782,1343.14356,1396.50533,1511.78036,1479.09596
North America (EI),682.173997,691.059511,672.450522,709.938639,689.829434,753.481149,815.904842,814.827271,761.970089,781.050107,750.929503,660.700749,731.727558,726.312565,731.114137,766.335759,788.616668,768.299336,818.844999,840.67391,848.086272,960.620959,948.780321,988.380876,1013.39796,1032.53851,1111.92697,1206.13292,1230.08389,1255.67242,1336.45531,1389.02778,1504.01873,1471.11977
North Macedonia,0.491,0.848,0.848,0.522,0.695,0.801,0.85,0.9,1.083,1.389,1.17,0.626,0.757,1.374,1.482,1.492,1.65,1.01,0.84,1.27,2.431026,1.434173,1.043836,1.593018,1.291666,2.028779,2.066561,1.296061,1.965544,1.34380844,1.47548791,1.65977628,1.58106,2.153293
Norway,121.358,110.343,116.898,119.483,111.922,121.829,104.174,110.027,115.984,121.75,142.1103,120.7503,129.7023,106.0342,109.3982,136.5262,120.4001,134.9411,140.3614,126.4947,117.9751,121.9095,143.6069,130.4248,137.9477,140.0834,145.1798,145.518961,143.113194,131.172585,151.208292,155.456634,142.957623,150.893246
OECD (EI),1338.62558,1358.54582,1353.82079,1435.95804,1397.68005,1487.79211,1527.96907,1563.30081,1537.86143,1559.67402,1577.50123,1486.86713,1537.20976,1532.23346,1597.21075,1643.32872,1701.68249,1715.39429,1823.07622,1862.29497,1976.35368,2115.19627,2225.94392,2349.80252,2419.1507,2542.92224,2654.83989,2799.43841,2935.82339,3045.0394,3271.77648,3368.2789,3544.22885,3675.9694
Oceania,41.6572426,42.3947453,40.7862769,43.7855693,45.7821326,47.0449778,46.0903081,43.3058393,45.581912,44.0133439,45.8328095,42.6120596,46.3491578,45.7155713,50.3661814,48.4692845,49.404196,49.1219567,47.4111523,51.4369039,55.1264548,64.6318944,62.438203,68.162966,67.6703615,71.6834268,79.0149497,75.511213,86.815411,92.221,100.031134,113.537956,126.061159,134.308384
